,created_at,tweet_content,keyword,user_location,entities
70,2021-05-04 12:40:25,sedenta por pontos na shein,['SHEIN'],Guilherme 👼🏽🥀🖤,"{'hashtags': [], 'urls': [], 'user_mentions': [], 'symbols': []}"
71,2021-05-04 12:40:25,"vai toma no cu, taxa de 6,50 pra sacar dinheiro no nubank",['Nubank'],"Londrina, Brasil","{'hashtags': [], 'urls': [], 'user_mentions': [], 'symbols': []}"
72,2021-05-04 12:40:33,aposto que se eu for no @Banrisul eles me dão um limite maior do que eu pedi na @nubank,['Nubank'],Porto Alegre -RS,"{'hashtags': [], 'urls': [], 'user_mentions': [{'screen_name': 'Banrisul', 'name': 'Banrisul', 'id': 296257613, 'id_str': '296257613', 'indices': [24, 33]}, {'screen_name': 'nubank', 'name': 'Nubank', 'id': 2319390320, 'id_str': '2319390320', 'indices': [80, 87]}], 'symbols': []}"
73,2021-05-04 12:40:34,"@mviana98_ Movimenta a conta da nubank que tu consegue um cartão deles, mesmo com nome sujo você consegue",['Nubank'],"São Gonçalo, Brasil","{'hashtags': [], 'urls': [], 'user_mentions': [{'screen_name': 'mviana98_', 'name': 'Viana', 'id': 2287348307, 'id_str': '2287348307', 'indices': [0, 10]}], 'symbols': []}"
74,2021-05-04 12:40:51,"Gente minhas comprinhas da shein estão no Brasil, quanto tempo será p entregar",['SHEIN'],cwb,"{'hashtags': [], 'urls': [], 'user_mentions': [], 'symbols': []}"
75,2021-05-04 12:41:03,"@nubank @Joarlens Nubank rapaz 1,00 de limite é uma afronta, estou me sentindo menosprezada 🤣🤣🤣🤣🤣",['Nubank'],None,"{'hashtags': [], 'urls': [], 'user_mentions': [{'screen_name': 'nubank', 'name': 'Nubank', 'id': 2319390320, 'id_str': '2319390320', 'indices': [0, 7]}, {'screen_name': 'Joarlens', 'name': 'Joarlens Afonso', 'id': 2799218177, 'id_str': '2799218177', 'indices': [8, 17]}], 'symbols': []}"
76,2021-05-04 12:41:14,@nubank Sustenta sua gracinha 😡,['Nubank'],"Vila Valério, Brasil","{'hashtags': [], 'urls': [], 'user_mentions': [{'screen_name': 'nubank', 'name': 'Nubank', 'id': 2319390320, 'id_str': '2319390320', 'indices': [0, 7]}], 'symbols': []}"
77,2021-05-04 12:41:16,@pestanaskrr n eh que ela seja #### mas tbm n eh essas coca cola toda,['Coca cola'],death star,"{'hashtags': [], 'urls': [], 'user_mentions': [{'screen_name': 'pestanaskrr', 'name': 'sa ☘️ ⋮ 📚: six of crows ⍟', 'id': 1149107893381345280, 'id_str': '1149107893381345280', 'indices': [0, 12]}], 'symbols': []}"
78,2021-05-04 12:41:40,"@mayve___ @nubank Levanta a hashtag #AprovaPL2564 e vamos ajudar a melhorar as condições de trabalho desses heróis!

COMPARTILHE😉",['Nubank'],Brasil,"{'hashtags': [{'text': 'AprovaPL2564', 'indices': [53, 66]}], 'urls': [], 'user_mentions': [{'screen_name': 'GeohingtonB', 'name': 'GB', 'id': 1166632429668446208, 'id_str': '1166632429668446208', 'indices': [3, 15]}, {'screen_name': 'mayve___', 'name': 'Mayve', 'id': 1022277131961868289, 'id_str': '1022277131961868289', 'indices': [17, 26]}, {'screen_name': 'nubank', 'name': 'Nubank', 'id': 2319390320, 'id_str': '2319390320', 'indices': [27, 34]}], 'symbols': []}"
79,2021-05-04 12:41:43,@nubank @AckisaMayra A resposta sempre é triste :(((((((((((((((((( kkkk,['Nubank'],None,"{'hashtags': [], 'urls': [], 'user_mentions': [{'screen_name': 'nubank', 'name': 'Nubank', 'id': 2319390320, 'id_str': '2319390320', 'indices': [0, 7]}, {'screen_name': 'AckisaMayra', 'name': 'Áckisa Octa (33-32)🧚🏼\u200d♀️✭', 'id': 1531346412, 'id_str': '1531346412', 'indices': [8, 20]}], 'symbols': []}"
80,2021-05-04 12:41:47,Primeira ficada e ele já me pediu uma blusa da Nike,['Nike'],"Vila Velha, Brasil","{'hashtags': [], 'urls': [], 'user_mentions': [], 'symbols': []}"
81,2021-05-04 12:41:55,A nubank ameaçou bloquear meu cartão se não pagasse a fatura kkk,['Nubank'],None,"{'hashtags': [], 'urls': [], 'user_mentions': [], 'symbols': []}"
82,2021-05-04 12:42:13,como assim a Nubank tá aumentando o limite dos outros e o meu nada 😔,['Nubank'],Brasil,"{'hashtags': [], 'urls': [], 'user_mentions': [], 'symbols': []}"
83,2021-05-04 12:42:40,Já no aguardo do e-mail que vai desanimar o resto do dia,[],Brazil,"{'hashtags': [], 'urls': [], 'user_mentions': [], 'symbols': []}"
84,2021-05-04 12:42:44,Todo mundo ganhando aumento no limite do nubank e eu tendo o pedido do aumento recusado: 🤡🤡🤡,['Nubank'],Brasil,"{'hashtags': [], 'urls': [], 'user_mentions': [], 'symbols': []}"
85,2021-05-04 12:42:44,eu simplesmente ODEIO a @nubank,['Nubank'],None,"{'hashtags': [], 'urls': [], 'user_mentions': [{'screen_name': 'nubank', 'name': 'Nubank', 'id': 2319390320, 'id_str': '2319390320', 'indices': [24, 31]}], 'symbols': []}"
